id,Key Phrase,Response,Question ID,Researcher 1,Grade 1,Researcher 2,Grade 2,Researcher 3,Grade 3,Researcher 4,Grade 4,Score out of 4
2ocam0PmKJsrDOmjJkNb,Barn owl locates sounds better than other tested animals,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,1,Ziyi Wang,0,Cynthia Lee,0,1
2qNg70v9kZVAPryBf5Fw,Barn owls utilize time differences between sound in left and right ears,"talons of the owl can readjust quickly to moving prey which is proof of the owls superior listening skills, face is the most visually appealling, sound travels different distances to the ear, , one of the ears takes in sound from above the other ear takes in sound from below, owls can hear in the vertical dimension three times better than humans but hear just as good as humans in the horizontal dimension, there is a sort of transparent covering over the ears of the owl",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,1,Jessica Cai,0,Ziyi Wang,1,Xiaowen Yuan,1,3
2t3Wr5EWjJXTfpJnSOOx,Preaural flaps are two flaps of skin projected to side next to the eyes,"Owls detect sound in the horizontal and vertical range, what helps them detect sound is when the sound reaches both ears additionally one is better for sounds above the owl and other ear is better for sounds below the owl, the sounds later then get processed in the mid brain, talons move, the owl's face is the most visually appealing as had , owls human same in azimuth but owl 3 time better in elevation,",6rc4k1su3txN6ZK4CJ0h,Jessica Cai,0,Tirdad Barghi,0,Benjamin Brown,0,Ember Shan,0,0
2v9eHTbVEpreJskEmpTZ,Sensitivity of the owl's hearing is shown by its ability to orient talons,"talons of the owl can readjust quickly to moving prey which is proof of the owls superior listening skills, face is the most visually appealling, sound travels different distances to the ear, , one of the ears takes in sound from above the other ear takes in sound from below, owls can hear in the vertical dimension three times better than humans but hear just as good as humans in the horizontal dimension, there is a sort of transparent covering over the ears of the owl",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,1,Jessica Cai,1,Ziyi Wang,1,Xiaowen Yuan,1,4
2vt4YevjcX59EraQPrwV,Barn owl locate prey like field mice,"Owls detect sound in the horizontal and vertical range, what helps them detect sound is when the sound reaches both ears additionally one is better for sounds above the owl and other ear is better for sounds below the owl, the sounds later then get processed in the mid brain, talons move, the owl's face is the most visually appealing as had , owls human same in azimuth but owl 3 time better in elevation,",6rc4k1su3txN6ZK4CJ0h,Jessica Cai,0,Tirdad Barghi,0,Benjamin Brown,0,Ember Shan,0,0
34taZrgE5Vfp3BY8U2AM,Ability to locate sound was previously greatest in human beings,"Owls locate sound vertically and horizontally, as they hunt from the air. Their physical structure helps them locate their prey, and any changes in sound. This is indicated by them adjusting their talons when a mouse changes position. Their face is visually striking, and has troughs that allow them to filter sound, and fine feathers that allow sound to pass through them. Different neurons indicate different areas of sound detected. While humans and owls are similarly skilled at horizontal sound detection, owls are 3x better at vertical sound detection. ",6rc4k1su3txN6ZK4CJ0h,Shaobo Liang,0,Benjamin Brown,0,Tirdad Barghi,1,Ziyi Wang,0,1
36ltpWGupXEyqGvfr2Ex,Ability to orient talons aligned with body axis of mouse in darkness,"The barn owl is an amazing creature for many reasons. The most impressive reason is its hunting capabilities. The extraordinary ways it hunts has a lot to do with how the bird is built. First it has key features like its opposite ears, head turning, and reflexes. It uses its opposite hearing ears to listen to the azmoith sound waves. These are horozontal sounds that it reads to react to pray changing its path of retreat. It is able to hunt so well in the dark because of this ability. Next the facial structure of the bird gives it just enough hearing advantage. The density of its feathers and its skull structure, chanel the azmuth sound waves for accurate hunting. Its eye sight is equal to a human but its hearing is four time ours. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,0,Jeffery Phonn,0,Cynthia Lee,0,0
3Bn3QZ3DzNttCv9qGuAe,Barn owl face feathers arrayed in tightly packed rows,"Owls locate sound vertically and horizontally, as they hunt from the air. Their physical structure helps them locate their prey, and any changes in sound. This is indicated by them adjusting their talons when a mouse changes position. Their face is visually striking, and has troughs that allow them to filter sound, and fine feathers that allow sound to pass through them. Different neurons indicate different areas of sound detected. While humans and owls are similarly skilled at horizontal sound detection, owls are 3x better at vertical sound detection. ",6rc4k1su3txN6ZK4CJ0h,Cynthia Lee,0,Shaobo Liang,0,Benjamin Brown,0,Tirdad Barghi,0,0
3FzNlbDfY0ZLOH6ROORK,"In completely dark experimental chamber, owl swoops down on mouse","The barn owl first has amazing hunting capabilities. It is equipped with hearing that helps him see with his ears. The owl is able to change the direction of fight and flight without using its eyes. It is able to readjust its talons to where the prey is moving with these hearing capabilities. It has specific features on its face that channel sounds into his ears that are different than each other. One hears noises abobve and the other hears noises below. With these he is able to react quickly on the horizontal plane. His reaction time in the air is equal to that of a human but on the azimuth level it is three times a human. Because of this unique evolved skill set, he is able to survive in the habitat he was built for because of the prey that he targets. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,0,Ziyi Wang,0,Jeffery Phonn,0,0
3ISXbdPSBG4WLLWgqS7d,Barn owl face is most visually striking,"the talons of the owl can readjust quickly providing proof of the owl's exceptional hearing abilities, the face is the most visually appealing feature on the owl, the ears of the owl are covered by a thin covering to let sound in, the different ears are more primed to hear different things, for example on ear hears sounds above better the other ear hears sounds below better, the owl is able to visualize the lovcation of its prey based on when the sounds from the prey reach each ear, these owl hear about the same as humans on the horizontal plane but hear three times better than humans in the vertical plane
",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,1,Cynthia Lee,1,Ziyi Wang,1,3
3Mzf6saKcWGUcG5GxiDf,The sound is perceived louder by the ear closer to the source,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,0,Ziyi Wang,0,Cynthia Lee,0,0
3PYonHLz2gZhJuC6rPJo,Ability to orient talons is not an accidental behavior,"Owls locate sound vertically and horizontally, as they hunt from the air. Their physical structure helps them locate their prey, and any changes in sound. This is indicated by them adjusting their talons when a mouse changes position. Their face is visually striking, and has troughs that allow them to filter sound, and fine feathers that allow sound to pass through them. Different neurons indicate different areas of sound detected. While humans and owls are similarly skilled at horizontal sound detection, owls are 3x better at vertical sound detection. ",6rc4k1su3txN6ZK4CJ0h,Shaobo Liang,0,Benjamin Brown,1,Tirdad Barghi,1,Ziyi Wang,1,3
3TQkbYz2gQqW5uCCkYrP,The barn owl is capable of locating the source of a sound within a range of one to two degrees,"talons of the owl can readjust quickly to moving prey which is proof of the owls superior listening skills, face is the most visually appealling, sound travels different distances to the ear, , one of the ears takes in sound from above the other ear takes in sound from below, owls can hear in the vertical dimension three times better than humans but hear just as good as humans in the horizontal dimension, there is a sort of transparent covering over the ears of the owl",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,0,Ziyi Wang,0,Xiaowen Yuan,0,0
3VeMG6eJi8RAyXnwy70B,Human beings locating sound in elevation are three times worse than barn owls,"the talons of the owl can readjust quickly providing proof of the owl's exceptional hearing abilities, the face is the most visually appealing feature on the owl, the ears of the owl are covered by a thin covering to let sound in, the different ears are more primed to hear different things, for example on ear hears sounds above better the other ear hears sounds below better, the owl is able to visualize the lovcation of its prey based on when the sounds from the prey reach each ear, these owl hear about the same as humans on the horizontal plane but hear three times better than humans in the vertical plane
",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,1,Xiaowen Yuan,1,Cynthia Lee,1,Ziyi Wang,1,4
3Ygzahq1x4BQQktytQhm,Two troughs are joined below the beak,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,0,Ziyi Wang,0,Cynthia Lee,0,0
3czGPhDncsZjAUre1AEZ,Barn owl face feathers structure called facial ruff,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,0,Ziyi Wang,0,Cynthia Lee,0,0
49e0135dKiQVp7Oe0NSe,The sound is perceived louder by the ear closer to the source,"Owls detect sound in the horizontal and vertical range, what helps them detect sound is when the sound reaches both ears additionally one is better for sounds above the owl and other ear is better for sounds below the owl, the sounds later then get processed in the mid brain, talons move, the owl's face is the most visually appealing as had , owls human same in azimuth but owl 3 time better in elevation,",6rc4k1su3txN6ZK4CJ0h,Jessica Cai,0,Tirdad Barghi,0,Benjamin Brown,0,Ember Shan,0,0
4KsEIQ3ayAeOTQvZDTTJ,Barn owl locates sounds in azimuth (horizontal dimension),"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,1,Jessica Cai,1,Ziyi Wang,1,Cynthia Lee,0,3
4OGk3oLP6KN9cn285AfL,Barn owl's life depends on hearing,"The barn owl is an amazing creature for many reasons. The most impressive reason is its hunting capabilities. The extraordinary ways it hunts has a lot to do with how the bird is built. First it has key features like its opposite ears, head turning, and reflexes. It uses its opposite hearing ears to listen to the azmoith sound waves. These are horozontal sounds that it reads to react to pray changing its path of retreat. It is able to hunt so well in the dark because of this ability. Next the facial structure of the bird gives it just enough hearing advantage. The density of its feathers and its skull structure, chanel the azmuth sound waves for accurate hunting. Its eye sight is equal to a human but its hearing is four time ours. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,1,Jeffery Phonn,1,Cynthia Lee,1,3
4RGGsUI8SjcI9eiBYpUe,Ability to realign talons when mouse turns and runs in different direction,"The barn owl is an amazing creature for many reasons. The most impressive reason is its hunting capabilities. The extraordinary ways it hunts has a lot to do with how the bird is built. First it has key features like its opposite ears, head turning, and reflexes. It uses its opposite hearing ears to listen to the azmoith sound waves. These are horozontal sounds that it reads to react to pray changing its path of retreat. It is able to hunt so well in the dark because of this ability. Next the facial structure of the bird gives it just enough hearing advantage. The density of its feathers and its skull structure, chanel the azmuth sound waves for accurate hunting. Its eye sight is equal to a human but its hearing is four time ours. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,0,Jeffery Phonn,0,Cynthia Lee,0,0
4S7mEInY2qh6O11yCklG,Nerve impulses travel to network of neurons in midbrain,"Owls locate sound vertically and horizontally, as they hunt from the air. Their physical structure helps them locate their prey, and any changes in sound. This is indicated by them adjusting their talons when a mouse changes position. Their face is visually striking, and has troughs that allow them to filter sound, and fine feathers that allow sound to pass through them. Different neurons indicate different areas of sound detected. While humans and owls are similarly skilled at horizontal sound detection, owls are 3x better at vertical sound detection. ",6rc4k1su3txN6ZK4CJ0h,Shaobo Liang,0,Benjamin Brown,0,Tirdad Barghi,0,Ziyi Wang,0,0
4VZm5HOzDIOIWmooyYo4,Realigning talons implies detection of subtle changes,"Owls locate sound vertically and horizontally, as they hunt from the air. Their physical structure helps them locate their prey, and any changes in sound. This is indicated by them adjusting their talons when a mouse changes position. Their face is visually striking, and has troughs that allow them to filter sound, and fine feathers that allow sound to pass through them. Different neurons indicate different areas of sound detected. While humans and owls are similarly skilled at horizontal sound detection, owls are 3x better at vertical sound detection. ",6rc4k1su3txN6ZK4CJ0h,Shaobo Liang,0,Benjamin Brown,1,Tirdad Barghi,1,Ziyi Wang,0,2
4dsZcPB8CHK9RhPDubik,Barn owls measure differences in loudness to offer clues for horizontal location,"The barn owl is an amazing creature for many reasons. The most impressive reason is its hunting capabilities. The extraordinary ways it hunts has a lot to do with how the bird is built. First it has key features like its opposite ears, head turning, and reflexes. It uses its opposite hearing ears to listen to the azmoith sound waves. These are horozontal sounds that it reads to react to pray changing its path of retreat. It is able to hunt so well in the dark because of this ability. Next the facial structure of the bird gives it just enough hearing advantage. The density of its feathers and its skull structure, chanel the azmuth sound waves for accurate hunting. Its eye sight is equal to a human but its hearing is four time ours. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,0,Jeffery Phonn,0,Cynthia Lee,0,0
4n1ton02N3B8jLFToRtT,Realigning talons implies identification of sound source with extreme accuracy,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,1,Jessica Cai,1,Ziyi Wang,0,Cynthia Lee,1,3
4sEaU6Yru8THVhIsabx3,Barn owl is a nocturnal hunter,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,0,Ziyi Wang,0,Cynthia Lee,0,0
4sstSLw7vgJ5S1hZjLpV,"Below the beak, there are ear openings hidden under preaural flaps","talons of the owl can readjust quickly to moving prey which is proof of the owls superior listening skills, face is the most visually appealling, sound travels different distances to the ear, , one of the ears takes in sound from above the other ear takes in sound from below, owls can hear in the vertical dimension three times better than humans but hear just as good as humans in the horizontal dimension, there is a sort of transparent covering over the ears of the owl",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,0,Ziyi Wang,0,Xiaowen Yuan,0,0
52RAiPwaSLrVy8bgGHaJ,Each neuron gets excited by sounds from one small region of space,"The barn owl hunts from the air, and so must locate sound both horizontally and vertically. While it has similar horizontal skill to humans, it is three times better at locating sound vertically. The barn owl is able to locate changes in sound on the ground (e.g. a mouse moving position) and is able to adjust its talons accordingly so that it can catch the prey - this is done through its neurons. It has a visually striking face designed with two long troughs down the face and fine feathers that allow sound to pass through. ",6rc4k1su3txN6ZK4CJ0h,Benjamin Brown,0,Tirdad Barghi,0,Ziyi Wang,0,Iman YeckehZaare,0,0
52SRYAK8o8GiNpAgHbH7,Detection of subtle changes in the sound origin to infer movement direction of prey,"the talons of the owl can readjust quickly providing proof of the owl's exceptional hearing abilities, the face is the most visually appealing feature on the owl, the ears of the owl are covered by a thin covering to let sound in, the different ears are more primed to hear different things, for example on ear hears sounds above better the other ear hears sounds below better, the owl is able to visualize the lovcation of its prey based on when the sounds from the prey reach each ear, these owl hear about the same as humans on the horizontal plane but hear three times better than humans in the vertical plane
",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,0,Cynthia Lee,0,Ziyi Wang,0,0
57J2aaA9kFJNlpihBqba,Left and right ears located at slightly different distances from source of sound,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Jessica Cai,0,Ziyi Wang,0,Cynthia Lee,0,0
5DR2cC7hx4mJeSA18Xba,Sensitivity of the owl's hearing is shown by its ability to orient talons for final strike,"The barn owl hunts from the air, and so must locate sound both horizontally and vertically. While it has similar horizontal skill to humans, it is three times better at locating sound vertically. The barn owl is able to locate changes in sound on the ground (e.g. a mouse moving position) and is able to adjust its talons accordingly so that it can catch the prey - this is done through its neurons. It has a visually striking face designed with two long troughs down the face and fine feathers that allow sound to pass through. ",6rc4k1su3txN6ZK4CJ0h,Benjamin Brown,1,Ziyi Wang,1,Tirdad Barghi,1,Iman YeckehZaare,1,4
5GX7secAsCWdAbi1B3an,Barn owl face feathers structure called facial ruff,"Owls detect sound in the horizontal and vertical range, what helps them detect sound is when the sound reaches both ears additionally one is better for sounds above the owl and other ear is better for sounds below the owl, the sounds later then get processed in the mid brain, talons move, the owl's face is the most visually appealing as had , owls human same in azimuth but owl 3 time better in elevation,",6rc4k1su3txN6ZK4CJ0h,Jessica Cai,0,Tirdad Barghi,0,Benjamin Brown,0,Ember Shan,0,0
5RUHVQJx9uBWP6uaIsO0,Barn owl face made up of layers of feathers,"The barn owl detects sound on two plans - horizontal and vertical, as it hunts from the air. While it's horizontal abilities are similar to a human's, a barn owl is about 3x better at detecting sound from the air than a human is. Barn owls are able to detect small changes in their prey's movement and position from the air, which is demonstrated by how they readjust their talons. This is because different neurons are focused on different areas and changes in that area. Additionally, the owl has two troughs on its face (longer than wide) and fine feathers that allow sound to pass through them. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,1,Jessica Cai,1,Ziyi Wang,0,Cynthia Lee,0,2
5VceFK8AuTeugtmdFGng,Barn owl's skull is narrow and small,"Owls detect sound in the horizontal and vertical range, what helps them detect sound is when the sound reaches both ears additionally one is better for sounds above the owl and other ear is better for sounds below the owl, the sounds later then get processed in the mid brain, talons move, the owl's face is the most visually appealing as had , owls human same in azimuth but owl 3 time better in elevation,",6rc4k1su3txN6ZK4CJ0h,Jessica Cai,0,Tirdad Barghi,0,Benjamin Brown,0,Ember Shan,0,0
65KE3msMJsnlJVBNFB2P,Barn owl must locate prey quickly in horizontal plane,"The barn owl is an amazing creature for many reasons. The most impressive reason is its hunting capabilities. The extraordinary ways it hunts has a lot to do with how the bird is built. First it has key features like its opposite ears, head turning, and reflexes. It uses its opposite hearing ears to listen to the azmoith sound waves. These are horozontal sounds that it reads to react to pray changing its path of retreat. It is able to hunt so well in the dark because of this ability. Next the facial structure of the bird gives it just enough hearing advantage. The density of its feathers and its skull structure, chanel the azmuth sound waves for accurate hunting. Its eye sight is equal to a human but its hearing is four time ours. ",6rc4k1su3txN6ZK4CJ0h,Tirdad Barghi,0,Xiaowen Yuan,1,Jeffery Phonn,0,Ziyi Wang,0,1
66BcAlgAfh58i4IPl1tt,Barn owls until tested had no known ability for locating source of sound,"Owls locate sound vertically and horizontally, as they hunt from the air. Their physical structure helps them locate their prey, and any changes in sound. This is indicated by them adjusting their talons when a mouse changes position. Their face is visually striking, and has troughs that allow them to filter sound, and fine feathers that allow sound to pass through them. Different neurons indicate different areas of sound detected. While humans and owls are similarly skilled at horizontal sound detection, owls are 3x better at vertical sound detection. ",6rc4k1su3txN6ZK4CJ0h,Benjamin Brown,0,Shaobo Liang,0,Tirdad Barghi,0,Ziyi Wang,0,0
67s3NLtNE3WEqTfM9ATk,Sensitivity of the owl's hearing is shown by its ability to orient talons,"Owls detect sound in the horizontal and vertical range, what helps them detect sound is when the sound reaches both ears additionally one is better for sounds above the owl and other ear is better for sounds below the owl, the sounds later then get processed in the mid brain, talons move, the owl's face is the most visually appealing as had , owls human same in azimuth but owl 3 time better in elevation,",6rc4k1su3txN6ZK4CJ0h,Jessica Cai,1,Tirdad Barghi,1,Benjamin Brown,0,Ember Shan,0,2
